,address,decimal
47,0x9c2c5fd7b07e95ee044ddeba0e97a665f142394f,18
48,0x7ec26842f195c852fa843bb9f6d8b583a274a157,18
49,0x84e1670f61347cdaed56dcc736fb990fbb47ddc1,18
50,0x2b9e7ccdf0f4e5b24757c1e1a80e311e34cb10c7,18
51,0x190eb8a183d22a4bdf278c6791b152228857c033,8
52,0x7583feddbcefa813dc18259940f76a02710a8905,18
53,0x101a023270368c0d50bffb62780f4afd4ea79c35,18
54,0x0c51f415cf478f8d08c246a6c6ee180c5dc3a012,18
55,0x3962f4a0a0051dcce0be73a7e09cef5756736712,18
56,0x282d8efce846a88b159800bd4130ad77443fa1a1,18
57,0xda537104d6a5edd53c6fbba9a898708e465260b6,18
58,0x0b220b82f3ea3b7f6d9a1d8ab58930c064a2b5bf,18
59,0x9a71012b13ca4d3d0cdc72a177df3ef03b0e76a3,18
60,0x67ce67ec4fcd4aca0fcb738dd080b2a21ff69d75,8
61,0x6e4e624106cb12e168e6533f8ec7c82263358940,6
62,0xe111178a87a3bff0c8d18decba5798827539ae99,2
63,0xf6372cdb9c1d3674e83842e3800f2a62ac9f3c66,18
64,0xa8b1e0764f85f53dfe21760e8afe5446d82606ac,18
65,0xE5417Af564e4bFDA1c483642db72007871397896,18
66,0x0ef39e52704ad52e2882bbfa6781167e1b6c4510,18
67,0x0621d647cecbfb64b79e44302c1933cb4f27054d,18
68,0x692597b009d13c4049a947cab2239b7d6517875f,18
69,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,18
70,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,18
71,0x43e4b063f96c33f0433863a927f5bad34bb4b03d,18
72,0x3066818837c5e6ed6601bd5a91b0762877a6b731,18
73,0x1c954e8fe737f99f68fa1ccda3e51ebdb291948c,18
74,0xf8f9efc0db77d8881500bb06ff5d6abc3070e695,18
75,0xf0059cc2b3e980065a906940fbce5f9db7ae40a7,18
76,0x430EF9263E76DAE63c84292C3409D61c598E9682,18
77,0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,2
78,0xbe662058e00849c3eef2ac9664f37fefdf2cdbfe,9
79,0x77a6f2e9a9e44fd5d5c3f9be9e52831fc1c3c0a0,18
80,0x77f56cf9365955486b12c4816992388ee8606f0e,18
81,0xb9638272ad6998708de56bbc0a290a1de534a578,18
82,0xe0339c80ffde91f3e20494df88d4206d86024cdf,18
83,0x614389eaae0a6821dc49062d56bda3d9d45fa2ff,18
84,0x07cc1cc3628cc1615120df781ef9fc8ec2feae09,18
85,0x0aab8dc887d34f00d50e19aee48371a941390d14,6
86,0x62414d03084eeb269e18c970a21f45d2967f0170,18
87,0x73580a2416a57f1c4b6391dba688a9e4f7dbece0,18
88,0xc26d47d5c33ac71ac5cf9f776d63ba292a4f7842,18
89,0xc4e82ba0fe6763cbe5e9cbca0ba7cbd6f91c6018,18
90,0xfa68fb4628dff1028cfec22b4162fccd0d45efb6,18
91,0xdb95f9188479575f3f718a245eca1b3bf74567ec,18
92,0x840195888db4d6a99ed9f73fcd3b225bb3cb1a79,18
93,0xb25e20de2f2ebb4cffd4d16a55c7b395e8a94762,18
94,0x42f37a1296b2981f7c3caced84c5096b2eb0c72c,18
95,0xB0B195aEFA3650A6908f15CdaC7D92F8a5791B0B,18
96,0xd85d1e945766fea5eda9103f918bd915fbca63e6,4
97,0xDC3326e71D45186F113a2F448984CA0e8D201995,6
98,0x76b8D57e5ac6afAc5D415a054453d1DD2c3C0094,18
99,0x40379a439d4f6795b6fc9aa5687db461677a2dba,9
100,0x40379a439d4f6795b6fc9aa5687db461677a2dba,9
101,0xd2507e7b5794179380673870d88b22f94da6abe0,18
102,0x98f8669f6481ebb341b522fcd3663f79a3d1a6a7,18
103,0xa4B2B20b2C73c7046ED19AC6bfF5E5285c58F20a,18
104,0x385eeac5cb85a38a9a07a70c73e0a3271cfb54a7,18
105,0xf81b4bec6ca8f9fe7be01ca734f55b2b6e03a7a0,18
106,0x91ca694d2b293f70fe722fba7d8a5259188959c3,18
107,0x054c42b6414747f5263b4a86f21b1afad00326bf,8
108,0xa63beffd33ab3a2efd92a39a7d2361cee14ceba8,18
